,a,al,am,b,c
249,0.019710707460623533,0.02,0.4,0.019692985966219087,0.019907554410672892
250,0.03020801525542638,0.03,0.4,0.030167705496838785,0.03067367919905692
251,0.04004996064528232,0.04,0.4,0.039969241854235026,0.04087403821334042
252,0.04874306549176777,0.05,0.4,0.04867196728349324,0.04997107994242388
253,0.058817063526679036,0.06,0.4,0.05868074594082467,0.06061775183712964
254,0.06903683546749184,0.07,0.4,0.06880951396410581,0.07153556797383222
255,0.07960680336352532,0.08,0.4,0.07933833597889109,0.08295431259479605
256,0.09084321497375503,0.09,0.4,0.09048717624942543,0.09523771890081008
257,0.10036868247464226,0.1,0.4,0.09992053011944899,0.10577024678020651
258,0.1999536486966731,0.2,0.4,0.19841400624797373,0.2230856138634576
259,0.29962528319532167,0.30000000000000004,0.4,0.2957331767203545,0.35613977744490033
260,0.4033060865363701,0.4,0.4,0.3970055466749455,0.5163510048352181
